Name,Value.videoId,Value.author,text
1147,W4ZjbmTCP9E,Willy B,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m08s"">11:08</a>"
1148,W4ZjbmTCP9E,Willy B,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m09s"">11:09</a>"
1149,W4ZjbmTCP9E,Asgard Ninja,I miss old Pewdiepie
1150,W4ZjbmTCP9E,Asgard Ninja,This game is so strange
1151,W4ZjbmTCP9E,Iforgottoburrythebody,Before meme review
1152,W4ZjbmTCP9E,Gaming_Grim_Reaper,He does not use a controller
1153,W4ZjbmTCP9E,Hero-Simp,Dont tell me what to do! ??
1154,W4ZjbmTCP9E,rhonn's vlogs and video,What the hell are you seing
1155,W4ZjbmTCP9E,Dr. Bender,anyone in 2019
1156,W4ZjbmTCP9E,Guppy,I?m watching this in 2019 and oh my I miss this
1157,W4ZjbmTCP9E,Kaitlyn Winslow,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m37s"">11:37</a> that made me laugh lol"
1158,W4ZjbmTCP9E,DROP_DEAD_1989,"Laughed so hard at <a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=11m36s"">11:36</a> it was so slick he could hardly believe it ????????"
1159,W4ZjbmTCP9E,Madison Perriton,Who is watching in 2018??
1160,W4ZjbmTCP9E,Cheryl Purnell,"<a href=""https://www.youtube.com/watch?v=W4ZjbmTCP9E&amp;t=3m42s"">3:42</a><br><b>DON?T TELL ME WHAT TO DO!</b>"
1161,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
1162,YSAFr7by81U,Laki2Mempuni,i miss it
1163,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
1164,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
1165,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
1166,YSAFr7by81U,Krisinatorr,The good old days ??
1167,YSAFr7by81U,marlyy k,2022????
1168,YSAFr7by81U,Amy Waters,Wow this gives me stranger thing vibes
1169,YSAFr7by81U,Haley Bennett,This is literally stranger things
1170,YSAFr7by81U,Maximus Brights,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=12m05s"">12:05</a> ???? edgar being helpful??"
1171,YSAFr7by81U,crystal the temperancexp ?,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=5m08s"">5:08</a> I forgot about that song ??"
1172,YSAFr7by81U,BENJAMIN V.,2022?
1173,YSAFr7by81U,IGRETRO VODs,"I agree, it?s really stupid she didn?t took the camera guy out"
1174,YSAFr7by81U,IGRETRO VODs,I would take money from atm any day
1175,YSAFr7by81U,IGRETRO VODs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=10m15s"">10:15</a> wait, so you see them as a couple? That?s not how I see it, she is more like a child, not a woman in my eyes, at least."
1176,YSAFr7by81U,neo bodan naega deo keo,Camera guy is always safe :)
1177,YSAFr7by81U,Lexi Sauve,Hi
1178,YSAFr7by81U,justin purvis,WHY IS THE LAST VID PRIVATE
1179,YSAFr7by81U,Jack Miles,"She should go to Haddonfield, if she goes to the right house she&#39;ll get a sandwich with the option of mayonnaise and mustard"
1180,YSAFr7by81U,Jack Miles,"Idk what it is but when it comes to these types of games, like this, Heavy Rain and Until Dawn, Pewds seems to be able to make little predictions about the story that turn out right quite a lot"
1181,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
1182,YSAFr7by81U,Laki2Mempuni,i miss it
1183,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
1184,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
1185,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
1186,YSAFr7by81U,Krisinatorr,The good old days ??
1187,YSAFr7by81U,marlyy k,2022????
1188,YSAFr7by81U,Amy Waters,Wow this gives me stranger thing vibes
1189,YSAFr7by81U,Haley Bennett,This is literally stranger things
1190,YSAFr7by81U,Maximus Brights,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=12m05s"">12:05</a> ???? edgar being helpful??"
1191,YSAFr7by81U,crystal the temperancexp ?,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=5m08s"">5:08</a> I forgot about that song ??"
1192,YSAFr7by81U,BENJAMIN V.,2022?
1193,YSAFr7by81U,IGRETRO VODs,"I agree, it?s really stupid she didn?t took the camera guy out"
1194,YSAFr7by81U,IGRETRO VODs,I would take money from atm any day
1195,YSAFr7by81U,IGRETRO VODs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=10m15s"">10:15</a> wait, so you see them as a couple? That?s not how I see it, she is more like a child, not a woman in my eyes, at least."
1196,YSAFr7by81U,neo bodan naega deo keo,Camera guy is always safe :)
1197,YSAFr7by81U,Lexi Sauve,Hi
1198,YSAFr7by81U,justin purvis,WHY IS THE LAST VID PRIVATE
1199,YSAFr7by81U,Jack Miles,"She should go to Haddonfield, if she goes to the right house she&#39;ll get a sandwich with the option of mayonnaise and mustard"
1200,YSAFr7by81U,Jack Miles,"Idk what it is but when it comes to these types of games, like this, Heavy Rain and Until Dawn, Pewds seems to be able to make little predictions about the story that turn out right quite a lot"
1201,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
1202,YSAFr7by81U,Laki2Mempuni,i miss it
1203,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
1204,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
1205,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
1206,YSAFr7by81U,Krisinatorr,The good old days ??
1207,YSAFr7by81U,marlyy k,2022????
1208,YSAFr7by81U,Amy Waters,Wow this gives me stranger thing vibes
1209,YSAFr7by81U,Haley Bennett,This is literally stranger things
1210,YSAFr7by81U,Maximus Brights,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=12m05s"">12:05</a> ???? edgar being helpful??"
1211,YSAFr7by81U,crystal the temperancexp ?,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=5m08s"">5:08</a> I forgot about that song ??"
1212,YSAFr7by81U,BENJAMIN V.,2022?
1213,YSAFr7by81U,IGRETRO VODs,"I agree, it?s really stupid she didn?t took the camera guy out"
1214,YSAFr7by81U,IGRETRO VODs,I would take money from atm any day
1215,YSAFr7by81U,IGRETRO VODs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=10m15s"">10:15</a> wait, so you see them as a couple? That?s not how I see it, she is more like a child, not a woman in my eyes, at least."
1216,YSAFr7by81U,neo bodan naega deo keo,Camera guy is always safe :)
1217,YSAFr7by81U,Lexi Sauve,Hi
1218,YSAFr7by81U,justin purvis,WHY IS THE LAST VID PRIVATE
1219,YSAFr7by81U,Jack Miles,"She should go to Haddonfield, if she goes to the right house she&#39;ll get a sandwich with the option of mayonnaise and mustard"
1220,YSAFr7by81U,Jack Miles,"Idk what it is but when it comes to these types of games, like this, Heavy Rain and Until Dawn, Pewds seems to be able to make little predictions about the story that turn out right quite a lot"
1221,mJn11-BB_pQ,Lamia Dollers,Using the hammer to open the Door was smart...??
1222,mJn11-BB_pQ,Drew Roybal,What&#39;s the name of that song he played when he skipped a different map to investigate and playing
1223,mJn11-BB_pQ,Jahpod,??
1224,mJn11-BB_pQ,Yes yes,Day 5 of commenting on every single one of pewds videos. Video count:331
1225,mJn11-BB_pQ,Ryan Berry,"Went all the way back in my favorites list and remember I subbed when I found this video, it was literally the 2nd video in my favorites playlist. 8 YEARS AGO. Wow. Always knew he?d get more popular but geez... To have grown alongside this guy is a series of memories and experiences I can?t say I have with any other entertainer and it?s kind of poetic. Thank you Felix. Hoping this cringe comment gets lost forever lol"
1226,mJn11-BB_pQ,Salih eren Kîse,2020...
1227,mJn11-BB_pQ,Alexander Preston,Anyone watching these classics in 2020?
1228,mJn11-BB_pQ,MrMasterchief1594,Welcome here 2020
1229,mJn11-BB_pQ,Asser Gunner,&quot;Downstairs its bad cause its the opposite of upstairs  &quot; ^-^
1230,mJn11-BB_pQ,NamlessGamer,anyone here in 2019 like if you are
1231,mJn11-BB_pQ,Laura Laenen,Ahh the good old days.
1232,mJn11-BB_pQ,Morpy,Who watches at 2018????
1233,mJn11-BB_pQ,Alexander Dominic Sintos,i wish pewdiepie plays more
1234,mJn11-BB_pQ,IDAN TV,?? ????? ????? ??????? ?????? ???? ?? ?? ????????????
1235,mJn11-BB_pQ,trycass,1 vid
1236,mJn11-BB_pQ,Salih eren Kîse,2017 yeaah :D
1237,mJn11-BB_pQ,Camiko,QUEM ê BR E VEIO S? PRA VER O 1¯ V?DEO????
1238,mJn11-BB_pQ,K†lm†n Kassai,2017..... :-(
1239,mJn11-BB_pQ,ITS_Achmad Zufri,Pewdiepie:he fast as hell<br>Me:That because you look back freakin????
1240,mJn11-BB_pQ,Bolamatyp,why only 15k likes?!
1241,mJn11-BB_pQ,Lamia Dollers,Using the hammer to open the Door was smart...??
1242,mJn11-BB_pQ,Drew Roybal,What&#39;s the name of that song he played when he skipped a different map to investigate and playing
1243,mJn11-BB_pQ,Jahpod,??
1244,mJn11-BB_pQ,Yes yes,Day 5 of commenting on every single one of pewds videos. Video count:331
1245,mJn11-BB_pQ,Ryan Berry,"Went all the way back in my favorites list and remember I subbed when I found this video, it was literally the 2nd video in my favorites playlist. 8 YEARS AGO. Wow. Always knew he?d get more popular but geez... To have grown alongside this guy is a series of memories and experiences I can?t say I have with any other entertainer and it?s kind of poetic. Thank you Felix. Hoping this cringe comment gets lost forever lol"
1246,mJn11-BB_pQ,Salih eren Kîse,2020...
1247,mJn11-BB_pQ,Alexander Preston,Anyone watching these classics in 2020?
1248,mJn11-BB_pQ,MrMasterchief1594,Welcome here 2020
1249,mJn11-BB_pQ,Asser Gunner,&quot;Downstairs its bad cause its the opposite of upstairs  &quot; ^-^
1250,mJn11-BB_pQ,NamlessGamer,anyone here in 2019 like if you are
1251,mJn11-BB_pQ,Laura Laenen,Ahh the good old days.
1252,mJn11-BB_pQ,Morpy,Who watches at 2018????
1253,mJn11-BB_pQ,Alexander Dominic Sintos,i wish pewdiepie plays more
1254,mJn11-BB_pQ,IDAN TV,?? ????? ????? ??????? ?????? ???? ?? ?? ????????????
1255,mJn11-BB_pQ,trycass,1 vid
1256,mJn11-BB_pQ,Salih eren Kîse,2017 yeaah :D
1257,mJn11-BB_pQ,Camiko,QUEM ê BR E VEIO S? PRA VER O 1¯ V?DEO????
1258,mJn11-BB_pQ,K†lm†n Kassai,2017..... :-(
1259,mJn11-BB_pQ,ITS_Achmad Zufri,Pewdiepie:he fast as hell<br>Me:That because you look back freakin????
1260,mJn11-BB_pQ,Bolamatyp,why only 15k likes?!
1261,mJn11-BB_pQ,Lamia Dollers,Using the hammer to open the Door was smart...??
1262,mJn11-BB_pQ,Drew Roybal,What&#39;s the name of that song he played when he skipped a different map to investigate and playing
1263,mJn11-BB_pQ,Jahpod,??
1264,mJn11-BB_pQ,Yes yes,Day 5 of commenting on every single one of pewds videos. Video count:331
1265,mJn11-BB_pQ,Ryan Berry,"Went all the way back in my favorites list and remember I subbed when I found this video, it was literally the 2nd video in my favorites playlist. 8 YEARS AGO. Wow. Always knew he?d get more popular but geez... To have grown alongside this guy is a series of memories and experiences I can?t say I have with any other entertainer and it?s kind of poetic. Thank you Felix. Hoping this cringe comment gets lost forever lol"
1266,mJn11-BB_pQ,Salih eren Kîse,2020...
1267,mJn11-BB_pQ,Alexander Preston,Anyone watching these classics in 2020?
1268,mJn11-BB_pQ,MrMasterchief1594,Welcome here 2020
1269,mJn11-BB_pQ,Asser Gunner,&quot;Downstairs its bad cause its the opposite of upstairs  &quot; ^-^
1270,mJn11-BB_pQ,NamlessGamer,anyone here in 2019 like if you are
1271,mJn11-BB_pQ,Laura Laenen,Ahh the good old days.
1272,mJn11-BB_pQ,Morpy,Who watches at 2018????
1273,mJn11-BB_pQ,Alexander Dominic Sintos,i wish pewdiepie plays more
1274,mJn11-BB_pQ,IDAN TV,?? ????? ????? ??????? ?????? ???? ?? ?? ????????????
1275,mJn11-BB_pQ,trycass,1 vid
1276,mJn11-BB_pQ,Salih eren Kîse,2017 yeaah :D
1277,mJn11-BB_pQ,Camiko,QUEM ê BR E VEIO S? PRA VER O 1¯ V?DEO????
1278,mJn11-BB_pQ,K†lm†n Kassai,2017..... :-(
1279,mJn11-BB_pQ,ITS_Achmad Zufri,Pewdiepie:he fast as hell<br>Me:That because you look back freakin????
1280,mJn11-BB_pQ,Bolamatyp,why only 15k likes?!
1281,mJn11-BB_pQ,Lamia Dollers,Using the hammer to open the Door was smart...??
1282,mJn11-BB_pQ,Drew Roybal,What&#39;s the name of that song he played when he skipped a different map to investigate and playing
1283,mJn11-BB_pQ,Jahpod,??
1284,mJn11-BB_pQ,Yes yes,Day 5 of commenting on every single one of pewds videos. Video count:331
1285,mJn11-BB_pQ,Ryan Berry,"Went all the way back in my favorites list and remember I subbed when I found this video, it was literally the 2nd video in my favorites playlist. 8 YEARS AGO. Wow. Always knew he?d get more popular but geez... To have grown alongside this guy is a series of memories and experiences I can?t say I have with any other entertainer and it?s kind of poetic. Thank you Felix. Hoping this cringe comment gets lost forever lol"
1286,mJn11-BB_pQ,Salih eren Kîse,2020...
1287,mJn11-BB_pQ,Alexander Preston,Anyone watching these classics in 2020?
1288,mJn11-BB_pQ,MrMasterchief1594,Welcome here 2020
1289,mJn11-BB_pQ,Asser Gunner,&quot;Downstairs its bad cause its the opposite of upstairs  &quot; ^-^
1290,mJn11-BB_pQ,NamlessGamer,anyone here in 2019 like if you are
1291,mJn11-BB_pQ,Laura Laenen,Ahh the good old days.
1292,mJn11-BB_pQ,Morpy,Who watches at 2018????
1293,mJn11-BB_pQ,Alexander Dominic Sintos,i wish pewdiepie plays more
1294,mJn11-BB_pQ,IDAN TV,?? ????? ????? ??????? ?????? ???? ?? ?? ????????????
1295,mJn11-BB_pQ,trycass,1 vid
1296,mJn11-BB_pQ,Salih eren Kîse,2017 yeaah :D
1297,mJn11-BB_pQ,Camiko,QUEM ê BR E VEIO S? PRA VER O 1¯ V?DEO????
1298,mJn11-BB_pQ,K†lm†n Kassai,2017..... :-(
1299,mJn11-BB_pQ,ITS_Achmad Zufri,Pewdiepie:he fast as hell<br>Me:That because you look back freakin????
1300,mJn11-BB_pQ,Bolamatyp,why only 15k likes?!
1301,UzqZwh0-p34,Garnet Shines,Kawai
1302,UzqZwh0-p34,PewDiePie,"<a href=""https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/"">https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/</a><br>^ Comments are here bros!"
1303,UzqZwh0-p34,PewDiePie,senpai
1304,UzqZwh0-p34,Garnet Shines,Kawai
1305,UzqZwh0-p34,PewDiePie,"<a href=""https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/"">https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/</a><br>^ Comments are here bros!"
1306,UzqZwh0-p34,PewDiePie,senpai
1307,UzqZwh0-p34,Garnet Shines,Kawai
1308,UzqZwh0-p34,PewDiePie,"<a href=""https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/"">https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/</a><br>^ Comments are here bros!"
1309,UzqZwh0-p34,PewDiePie,senpai
1310,UzqZwh0-p34,Garnet Shines,Kawai
1311,UzqZwh0-p34,PewDiePie,"<a href=""https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/"">https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/</a><br>^ Comments are here bros!"
1312,UzqZwh0-p34,PewDiePie,senpai
1313,UzqZwh0-p34,Garnet Shines,Kawai
1314,UzqZwh0-p34,PewDiePie,"<a href=""https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/"">https://broarmy.net/index.php/Thread/32488-I-M-SO-KAWAII-Pewds-Animated-By-Anothink/</a><br>^ Comments are here bros!"
1315,UzqZwh0-p34,PewDiePie,senpai
1316,BhkBifP4aiQ,mia mae,Cant stop watching I LIKE DUCK SALTYYYY
1317,BhkBifP4aiQ,Baka no Krow,Thats cool.
1318,BhkBifP4aiQ,Harold Daniel,Best fanfiction ever 
1319,BhkBifP4aiQ,wildanemone,Am I the only one who found this hilarious and freaky?
1320,BhkBifP4aiQ,Sketchy Qubox,I just love the plot twists XD
1321,BhkBifP4aiQ,Blake Messina,It&#39;s so much better with Cry reading it exactly as it was apparently written. Animation is 100%
1322,BhkBifP4aiQ,Gang_bana,haha So funny Pewds :)
1323,BhkBifP4aiQ,Maisyn,"Had a bad day today, this changed my mood instantly, thank you guys! &lt;3"
1324,BhkBifP4aiQ,MYLEGOSTUFF,Hilarious! I was laughing my ass off! How come you don&#39;t do much videos with Cry much like you used too? I miss you guys doing games together.
1325,BhkBifP4aiQ,Daynger,How is there no comments... I think the world broke
1326,BhkBifP4aiQ,Mushy Moo,"no words, just laughter (hope i spelled that right) 030 fistbump pewds o(o-o)<del>o o</del>(030)o"
1327,QPHXSIODfz0,Shen,Revisiting the classics once again ????
1328,QPHXSIODfz0,Genesis Osuna,I miss this pewdiepie
1329,QPHXSIODfz0,SC4 REACTOR,2013 PLANT
1330,QPHXSIODfz0,StoneAF,"Pewds and his intros, &quot;Welcome back to parasoniac/ paranormal.&quot;"
1331,QPHXSIODfz0,Yes yes,Day 21 of commenting on every single one of pewds videos. Video count:1073
1332,QPHXSIODfz0,Michael Chandra,Whats the name of the song on the piano part ?
1333,QPHXSIODfz0,The Harrerei,i scrolled through pewdiepies videos to find the earliest upload
1334,QPHXSIODfz0,The Harrerei,i scrolled through pewdiepies videos to find the earlies upload
1335,QPHXSIODfz0,brandon modesto,welcome to the last vid
1336,QPHXSIODfz0,???,??? ???? ? ?? ?? ?? ??? ??
1337,QPHXSIODfz0,hunter Marwan,2020  ???
1338,QPHXSIODfz0,stupid,Hi im the future and im back to see the old video of pewdiepie say <br><br><br><br><br>HI
1339,QPHXSIODfz0,Alexia,"<a href=""https://www.youtube.com/watch?v=QPHXSIODfz0&amp;t=0m16s"">0:16</a> his reaction after the burp is hilarious"
1340,QPHXSIODfz0,James Cordero,Notice me senpai. ??
1341,QPHXSIODfz0,El Nano :3,"I&#39;m watch this videos and see below the pewds merchandise and in mine minds think... this man never change, still relevant :3"
1342,QPHXSIODfz0,imbel,Ima wear my headphones since this ep cuz its late at night and I don&#39;t wanna wake anybody up ;)
1343,QPHXSIODfz0,Sabilaziz21,"that scream tho <a href=""https://www.youtube.com/watch?v=QPHXSIODfz0&amp;t=9m09s"">9:09</a>"
1344,QPHXSIODfz0,Ethan Sami,The double back trick... i use jukes like that in dbd but 2019... anyone
1345,QPHXSIODfz0,Flame Wolf girl,PewDiePie: Ah that was easy :D<br>Me: <b>wondering what happen next</b> Where is the monster?
1346,QPHXSIODfz0,Shihouin,"<a href=""https://www.youtube.com/watch?v=QPHXSIODfz0&amp;t=5m53s"">5:53</a> selena mobile legends"
1347,QPHXSIODfz0,Shen,Revisiting the classics once again ????
1348,QPHXSIODfz0,Genesis Osuna,I miss this pewdiepie
1349,QPHXSIODfz0,SC4 REACTOR,2013 PLANT
1350,QPHXSIODfz0,StoneAF,"Pewds and his intros, &quot;Welcome back to parasoniac/ paranormal.&quot;"
1351,QPHXSIODfz0,Yes yes,Day 21 of commenting on every single one of pewds videos. Video count:1073
1352,QPHXSIODfz0,Michael Chandra,Whats the name of the song on the piano part ?
1353,QPHXSIODfz0,The Harrerei,i scrolled through pewdiepies videos to find the earliest upload
1354,QPHXSIODfz0,The Harrerei,i scrolled through pewdiepies videos to find the earlies upload
1355,QPHXSIODfz0,brandon modesto,welcome to the last vid
1356,QPHXSIODfz0,???,??? ???? ? ?? ?? ?? ??? ??
1357,QPHXSIODfz0,hunter Marwan,2020  ???
1358,QPHXSIODfz0,stupid,Hi im the future and im back to see the old video of pewdiepie say <br><br><br><br><br>HI
1359,QPHXSIODfz0,Alexia,"<a href=""https://www.youtube.com/watch?v=QPHXSIODfz0&amp;t=0m16s"">0:16</a> his reaction after the burp is hilarious"
1360,QPHXSIODfz0,James Cordero,Notice me senpai. ??
1361,QPHXSIODfz0,El Nano :3,"I&#39;m watch this videos and see below the pewds merchandise and in mine minds think... this man never change, still relevant :3"
1362,QPHXSIODfz0,imbel,Ima wear my headphones since this ep cuz its late at night and I don&#39;t wanna wake anybody up ;)
1363,QPHXSIODfz0,Sabilaziz21,"that scream tho <a href=""https://www.youtube.com/watch?v=QPHXSIODfz0&amp;t=9m09s"">9:09</a>"
1364,QPHXSIODfz0,Ethan Sami,The double back trick... i use jukes like that in dbd but 2019... anyone
1365,QPHXSIODfz0,Flame Wolf girl,PewDiePie: Ah that was easy :D<br>Me: <b>wondering what happen next</b> Where is the monster?
1366,QPHXSIODfz0,Shihouin,"<a href=""https://www.youtube.com/watch?v=QPHXSIODfz0&amp;t=5m53s"">5:53</a> selena mobile legends"
1367,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
1368,YSAFr7by81U,Laki2Mempuni,i miss it
1369,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
1370,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
1371,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
1372,YSAFr7by81U,Krisinatorr,The good old days ??
1373,YSAFr7by81U,marlyy k,2022????
1374,YSAFr7by81U,Amy Waters,Wow this gives me stranger thing vibes
1375,YSAFr7by81U,Haley Bennett,This is literally stranger things
1376,YSAFr7by81U,Maximus Brights,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=12m05s"">12:05</a> ???? edgar being helpful??"
1377,YSAFr7by81U,crystal the temperancexp ?,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=5m08s"">5:08</a> I forgot about that song ??"
1378,YSAFr7by81U,BENJAMIN V.,2022?
1379,YSAFr7by81U,IGRETRO VODs,"I agree, it?s really stupid she didn?t took the camera guy out"
1380,YSAFr7by81U,IGRETRO VODs,I would take money from atm any day
1381,YSAFr7by81U,IGRETRO VODs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=10m15s"">10:15</a> wait, so you see them as a couple? That?s not how I see it, she is more like a child, not a woman in my eyes, at least."
1382,YSAFr7by81U,neo bodan naega deo keo,Camera guy is always safe :)
1383,YSAFr7by81U,Lexi Sauve,Hi
1384,YSAFr7by81U,justin purvis,WHY IS THE LAST VID PRIVATE
1385,YSAFr7by81U,Jack Miles,"She should go to Haddonfield, if she goes to the right house she&#39;ll get a sandwich with the option of mayonnaise and mustard"
1386,YSAFr7by81U,Jack Miles,"Idk what it is but when it comes to these types of games, like this, Heavy Rain and Until Dawn, Pewds seems to be able to make little predictions about the story that turn out right quite a lot"
1387,YSAFr7by81U,SleepySabi,Rewatching in 2023 ????
1388,YSAFr7by81U,Laki2Mempuni,i miss it
1389,YSAFr7by81U,M Balazs,"<a href=""https://www.youtube.com/watch?v=YSAFr7by81U&amp;t=21m00s"">21:00</a> the new level of quality gaming"
1390,YSAFr7by81U,Leia,"What happened to part 4?  and there is another 1 episode missing, dont remember the number.  missing episodes messes up the whole experience"
1391,YSAFr7by81U,Maria K,2022 Still love watching your playthroughs bro
1392,YSAFr7by81U,Krisinatorr,The good old days ??
